Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка
Парикмахер-универсал,60000— 200000 руб.,"['диплом об окончании курсов парикмахеров', 'Работа с накладными волосами']","['Вакансия недели', 'Быстрый отклик']",Шевченко Татьяна Анатольевна,"['Петровский парк,', 'Петровский парк']","Петровский парк, Петровский парк,г Москва, ул Верхняя Масловка, д 28",Москва,Работа в сфере красоты,Парикмахер,опыт работы от 3 лет,образование любое,https://www.rabota.ru/vacancy/54255960/?search_id=1775506660586viaeqlks91&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Ведущий научный сотрудник,от 150000 руб.,"['MS Office', 'MS Office  Excel', 'MS Office Word', 'бюджетирование', 'ведение деловой переписки', 'составление отчетов', 'анализ рынка', 'составление отчетности', 'планирование работ', 'управление проектами', 'написание статей', 'Статистика', 'Выполнение научно-исследовательской работы', 'Формирование отчетов о проделанной работы']",[],ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,['Бутырская'],"Бутырская,г Москва, ул Добролюбова, д 11",Москва,Работа в сфере образования,Научный сотрудник,опыт работы от 1 года,образование высшее,https://www.rabota.ru/vacancy/54244351/?search_id=1775506660586viaeqlks91&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-курьер на доставку сантехники,по договоренности,"['пунктуальность', 'безаварийное вождение', 'доставка товаров', 'доставка заказов', 'права категории В', 'курьерская доставка', 'Навык вождения']",[],Яндекс.Доставка,[],г Москва,Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/54238467/?search_id=1775506660586viaeqlks91&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-курьер на личном авто,по договоренности,"['пунктуальность', 'безаварийное вождение', 'доставка товаров', 'доставка заказов', 'права категории В', 'курьерская доставка', 'Навык вождения']",[],Яндекс.Доставка,[],г Москва,Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/54238448/?search_id=1775506660586viaeqlks91&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Медицинский писатель (Координационный центр федерального проекта),по договоренности,"['коммуникабельность', 'ведение переговоров', 'MS Office Word', 'английский язык']",[],ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,['Гражданская'],"Гражданская,г Москва, ул Вучетича, д 12",Москва,Работа в сфере культуры,Писатель,опыт работы от 1 года,образование высшее,https://www.rabota.ru/vacancy/54223769/?search_id=1775506660586viaeqlks91&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-курьер по доставке продуктов,по договоренности,"['пунктуальность', 'безаварийное вождение', 'доставка товаров', 'доставка заказов', 'права категории В', 'курьерская доставка', 'Навык вождения']",[],Яндекс.Доставка,[],г Москва,Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/54219184/?search_id=1775506660586viaeqlks91&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Маляр на кузнечное производство,80000— 90000 руб.,"['малярные работы', 'покраска']",[],"ООО ""СГ""",['Бутырская'],"Бутырская,г Москва, Огородный проезд, д 9",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/53919291/?search_id=1775506660586viaeqlks91&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-экспедитор категории C,120000— 140000 руб.,"['пунктуальность', 'устройство автомобилей', 'перевозка грузов', 'знание Москвы и Московской области', 'экспедирование', 'спокойный стиль вождения', 'работоспособность', 'водительские права BC']",['Вакансия недели'],Альфа транс,"['Стахановская ,', 'Окская']","Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",Москва,Экспедитор,Водитель-экспедитор,опыт работы от 1 года,образование среднее профессиональное,https://www.rabota.ru/vacancy/53745521/?search_id=1775506660586viaeqlks91&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-курьер с личным автомобилем,261900— 371000 руб.,"['ответственность', 'пунктуальность', 'доставка документов', 'доставка товаров', 'доставка заказов']","['Вакансия недели', 'Быстрый отклик', 'Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Парк7778,[],г Москва,Москва,Работа в сфере доставки,Курьер,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/50258792/?search_id=1775506660586viaeqlks91&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель-экспедитор категории В,90000— 150000 руб.,"['пунктуальность', 'устройство автомобилей', 'перевозка грузов', 'знание Москвы и Московской области', 'экспедирование', 'спокойный стиль вождения', 'работоспособность', 'водительские права BC']",['Вакансия недели'],Альфа транс,"['Стахановская ,', 'Окская']","Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",Москва,Экспедитор,Водитель-экспедитор,опыт работы от 3 лет,образование среднее профессиональное,https://www.rabota.ru/vacancy/49683003/?search_id=1775506660586viaeqlks91&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
